"Text";"Id"
"@eboniwatch Kalau yg udah announcement pastinya Coldplay Karna venuenya di GBK ????? venue konser impian banget GBK tuh

#NontonKonserPakeEboni";"1660956767294218240"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956715859476481"
"@eboniwatch yang udah nunggu justin dari lama. Kedua, konser Coldplay. Aku emang bukan fans berat Coldplay, tapi udah nunggu mereka dari lama banget! Sebelum akhirnya viral di tiktok dan jadi ke-fomoan semua ?

#NontonKonserPakeEboni";"1660956643537096704"
"Promo tiket bus konser Coldplay Indonesia di GBK

Lagi cari kendaraan buat nonton konser coldplay bareng temen, kerabat, atau keluarga? Sewa bus Arion aja.

Lebih hemat karena ada PROMO SPESIAL sambut Coldplay di Indonesia

#liburan #konser #gbk #ColdplayIndonesia #coldplay https://t.co/CGvtV7hAAE";"1660956567511142400"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956556765335553"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956351462543360"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956266880176129"
"@PDemokrat Rakyat banyak yg marah, murka, sebab gk bisa dapat tiket konser coldplay.. 

Takdiirrr.. 
Takdiirrrr.... Takdir....";"1660956249889083395"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956236966428673"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956155169095682"
"RT @liputan6dotcom: Korban Penipuan Tiket Konser Coldplay Bertambah Jadi 60 Orang, Kerugian Sentuh Rp 183 Juta https://t.co/tpcOpz5paW";"1660956147917131776"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956055285936129"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956024298405889"
"Pasangan suami istri alias pasutri yang menjadi pelaku penipuan jasa titip tiket konser grup musik Coldplay di Tanah Air telah memperdaya 60 orang https://t.co/gue3mTDSc5";"1660592555661332481"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660592402003030016"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660592283899789312"
"RT @adri_7i: Nah loh,,,
990 santri hamil, 
MUI ngga berniat ngomentari Qontol panji gumilang?..?
PA 2I2, MUI sibuk dgn konser Coldplay dan…";"1660592145240313856"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660592104207454209"
"Padahal udah di himbauin kalo beli tiket konser coldplay tuh melalui website yang resmi. Kok malah beli ke calo si? udah gitu calo nya nipu lagi heran guemah. Ga habis fikri.";"1660592086692032512"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660592083613401088"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660592050201591808"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660592026285658112"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660591940344377344"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660591856378580992"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660591856051441665"
"Wts tiket konser ootd outfit jaket leather untuk konser wtb wtr want to rent s23 iphone army bomb underprice coldplay no scam";"1660591779912257537"
"Hal ini terlihat dari data pre-sale dan general sale tiket konser Coldplay di Jakarta. #kumparanTRAVEL #newsupdate https://t.co/o7VWNGl4Ov";"1660591732638232582"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660591713956827136"
"Euforia Konser Coldplay di Indonesia, Bagaimana Karakter Penontonnya? https://t.co/9SSRQiqGrh";"1660591594603675649"
"Perihal Penipuan Online Tiket Konser Coldplay, Polri Bakal Klarifikasi Vendor https://t.co/uf355lfYc1";"1660591593165033473"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660591581479706624"
"WTS leather jacket

-baru, belum pernah dipakai pergi2 baru dicoba 1x
-beli utk konser Suga Agust D tp ga jadi
- size M
- bahan 100% bagus+furing
- Harga 120k aja (karena tag udah dicopot)
- Minat DM

?Co oren/COD iceBSD 25/26 Mei

Wtb wtr wts ticket outfit konser bts Coldplay https://t.co/81cy056R3C";"1660591566388600832"
"RT @catchmeupid: Sejak resmi dirilis band Coldplay bakal konser di Jakarta, euforianya tuh kerasa banget. Apalagi pas presale dan public on…";"1660591491734183938"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660591444904771584"
"Penyiksaan ini belum berakhir, lagi dan lagi lagii abang messi main tanggal 19 juni dan pas tanggal itu gw disuruh training ? 
Rasanya itu beuhhh ???
Ini lebih rare dari konser coldplay ?";"1660591436449062917"
"RT @adri_7i: Nah loh,,,
990 santri hamil, 
MUI ngga berniat ngomentari Qontol panji gumilang?..?
PA 2I2, MUI sibuk dgn konser Coldplay dan…";"1660591336997912581"
"RT @snogthenbite: tania widya agustina,  18 thn.
nipu org dgn kedok jual tiket konser coldplay.

greesella sophina adhalia, 17 thn.
sering…";"1660591197549916161"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660591071188099075"
"RT @adri_7i: Nah loh,,,
990 santri hamil, 
MUI ngga berniat ngomentari Qontol panji gumilang?..?
PA 2I2, MUI sibuk dgn konser Coldplay dan…";"1660591069585866754"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660591050275311617"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660590893374771202"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660590737174716421"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660590722951827456"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660590636288864256"
