,text_clean,text_preprocessed
374,kebayang gak sih coldplay konser nanti ajak bts sekalian buat nyanyi bareng my universe army yang tidak ikut war tiket gimana ya perasaannya,"['bayang', 'gak', 'sih', 'coldplay', 'konser', 'ajak', 'bts', 'nyanyi', 'bareng', 'my', 'universe', 'army', 'war', 'tiket', 'gimana', 'ya', 'asa']"
375,musisi astrid basjar mengaku kecewa lantaran dirinya gagal mendapatkan tiket konser coldplay penyanyi bersuara unik ini mengaku ikut dalam war tiket band asal inggris tersebut aku masih galau nggak dapat tiket aku ikut warnya bayangin dua hari tapi,"['musisi', 'astrid', 'basjar', 'aku', 'kecewa', 'lantar', 'gagal', 'tiket', 'konser', 'coldplay', 'nyanyi', 'suara', 'unik', 'aku', 'war', 'tiket', 'band', 'inggris', 'aku', 'galau', 'nggak', 'tiket', 'warnya', 'bayangin']"
376,merusak akhlak dan moral anak bangsa alasan anwar abbas mui tolak konser coldplay,"['rusak', 'akhlak', 'moral', 'anak', 'bangsa', 'alas', 'anwar', 'abbas', 'mui', 'tolak', 'konser', 'coldplay']"
377,gile  hari konser kgak capek apa ya,"['gile', 'konser', 'kgak', 'capek', 'ya']"
378,euforia belakangan ini terkait konser seperti super junior blackpink hingga coldplay sampai fanmeet sejumlah aktor drama semacam lee je hoon kim soo hyun dan beberapa lagi yang lain tampaknya masih akan membanjiri tanah air siapin kocek ya gaes  kamu pergi ke acara mana,"['euforia', 'kait', 'konser', 'super', 'junior', 'blackpink', 'coldplay', 'fanmeet', 'aktor', 'drama', 'lee', 'je', 'hoon', 'kim', 'soo', 'hyun', 'banjir', 'tanah', 'air', 'siapin', 'kocek', 'ya', 'gaes', 'pergi', 'acara']"
379,direktorat reserse kriminal khusus kepolisian daerah sumatra selatan mengerahkan tim siber untuk menyelidiki kasus dugaan penipuan pembelian tiket konser grup musik coldplay yang dialami oleh seorang manajer artis di kota palembang,"['direktorat', 'reserse', 'kriminal', 'khusus', 'polisi', 'daerah', 'sumatra', 'selatan', 'kerah', 'tim', 'siber', 'selidik', 'duga', 'tipu', 'beli', 'tiket', 'konser', 'grup', 'musik', 'coldplay', 'alami', 'manajer', 'artis', 'kota', 'palembang']"
380,noh yg ga percaya bahwa konser coldplay itu penyokong dana ke komunitas lgbt  tolak lgbtq klmnop xyz   ,"['noh', 'yg', 'ga', 'percaya', 'konser', 'coldplay', 'sokong', 'dana', 'komunitas', 'lgbt', 'tolak', 'lgbtq', 'klmnop', 'xyz']"
381,yg pasti coldplay jauh lebih populer dari anies klo gak percaya buat acara dng pembicara anies dng harga tiket dan tmp yg sama seperti konser coldplay di jamin pasti tiket nonton anies gak laku,"['yg', 'coldplay', 'populer', 'anies', 'klo', 'gak', 'percaya', 'acara', 'dng', 'bicara', 'anies', 'dng', 'harga', 'tiket', 'tmp', 'yg', 'konser', 'coldplay', 'jamin', 'tiket', 'nonton', 'anies', 'gak', 'laku']"
382,sama mbak kalah war tiket sabar n beli sama calo dekat hari h aja biasanya harganya uda normal nggak gila kyk skrg dari jadwal turnya gak memungkinkan utk nambah hari konser di indo jadi jangan terlalu berharap,"['mbak', 'kalah', 'war', 'tiket', 'sabar', 'n', 'beli', 'calo', 'h', 'aja', 'harga', 'uda', 'normal', 'nggak', 'gila', 'kyk', 'skrg', 'jadwal', 'tur', 'gak', 'utk', 'nambah', 'konser', 'indo', 'harap']"
383,usai euforia war tiket konser coldplay terlewati seiring tiket yang terjual habis kali ini tiket band asal inggris tersebut mendadak dijadikan mahar pernikahan,"['euforia', 'war', 'tiket', 'konser', 'coldplay', 'lewat', 'iring', 'tiket', 'jual', 'habis', 'kali', 'tiket', 'band', 'inggris', 'dadak', 'jadi', 'mahar', 'nikah']"
384,bayangin mati pas lagi nonton konser atau dijalan pas abis konser,"['bayangin', 'mati', 'pas', 'nonton', 'konser', 'jalan', 'pas', 'abis', 'konser']"
385,wtb tiket konser coldplay indo cat  yang bisa cod dan amanah terima kasih,"['wtb', 'tiket', 'konser', 'coldplay', 'indo', 'cat', 'cod', 'amanah', 'terima', 'kasih']"
386,wts tiket coldplay  jujur ini berlaku di hampir semua konser dan mnrt gw yes gw jg observe konser kpop yg harganya masih tinggi even di hari h baru tdsnya nct dream coba aja kita liat ya nanti coldplay gimana,"['wts', 'tiket', 'coldplay', 'jujur', 'laku', 'konser', 'mnrt', 'gw', 'yes', 'gw', 'jg', 'observe', 'konser', 'kpop', 'yg', 'harga', 'even', 'h', 'tdsnya', 'nct', 'dream', 'coba', 'aja', 'liat', 'ya', 'coldplay', 'gimana']"
387,tentang gelombang penolakan konser coldplay di indonesia oleh pa  dan mui karena coldplay dianggap mendukung lgbt ada sekelumit pendapat saya di sini,"['gelombang', 'tolak', 'konser', 'coldplay', 'indonesia', 'pa', 'mui', 'coldplay', 'anggap', 'dukung', 'lgbt', 'kelumit', 'dapat']"
388,panas pa  dan mui tolak coldplay menparekraf sandiaga justru upayakan konser coldplay di indonesia jadi dua hari,"['panas', 'pa', 'mui', 'tolak', 'coldplay', 'menparekraf', 'sandiaga', 'upaya', 'konser', 'coldplay', 'indonesia']"
389,awas penipuan tiket konser coldplay  direktorat tindak pidana siber dirtipidsiber  badan reserse kriminal bareskrim polri mendeteksi adanya dugaan penipuan penjualan tiket online konser band coldplay di media sosial medsos,"['awas', 'tipu', 'tiket', 'konser', 'coldplay', 'direktorat', 'tindak', 'pidana', 'siber', 'dirtipidsiber', 'badan', 'reserse', 'kriminal', 'bareskrim', 'polri', 'deteksi', 'duga', 'tipu', 'jual', 'tiket', 'online', 'konser', 'band', 'coldplay', 'media', 'sosial', 'medsos']"
